operator_name,country,city,cargo_aircraft_count,fleet_count,priority,enrichment_status,website,phone,address,profile_url,source,base_icao,aircraft_types
FLY ACROSS,Mexico,Monterrey,1,39,medium,pending,,52 55 5662 3100,"AEROPUERTO INTERNACIONAL DE TOLUCA, CALLE 6, LOTE 53, ZONA DE HANGARES, TOLUCA, Mexico",https://www.aircharterguide.com/Operator_Info/FLY+ACROSS/98319/Monterrey/67950,ACG,MMTO,45|505 Jet Ranger X|BD-5000-1A10 (GLOBAL 5000)|CE-208 (CARAVAN I)|CE-510 (MUSTANG)|CE-525B (CITATION JET 3)|CE-525C (CITATION JET 4)|CE-680 (CITATION SOVEREIGN)|Citation CJ4|Citation Sovereign|Citation XLS|EMB-500 (PHENOM 100)|EMB-505 (PHENOM 300)|EMB-550 (LEGACY 500)|HB-407GX|HB-429|HB-505 (JET RAN
FLY ALLIANCE,United States,Miami,3,19,high,pending,https://flyalliance.com/,+16723548599; +17144224847; 407-793-3046,"637 PALM DRIVE, OCOEE, FL, United States, Email:",https://www.aircharterguide.com/Operator_Info/FLY+ALLIANCE/99535/Miami/69525,ACG,KOPF,BD-700-1A10 (GLOBAL EXPRESS)|CE-560-XL (CITATION EXCEL)|CE-680A (LATITUDE)|G-IV (GULFSTREAM IV)|G-V (GULFSTREAM V)|HS-125-800XP (HAWKER 800XP)
"FLYUSA, INC.",United States,Tampa,1,7,medium,pending,https://flyusainc.applytojob.com/apply/,+12023122020; 864-501-2828,"380 PARK PLACE BLVD, SUITE 150, CLEARWATER, FL, United States","https://www.aircharterguide.com/Operator_Info/FLYUSA,+INC./775/Tampa/837",ACG,KTPA,CE-550 (CITATION II)|CE-560-U (CITATION ULTRA)|HS-125-800XP (HAWKER 800XP)|PC-12-45 (PILATUS)
"FREIGHT RUNNERS EXPRESS, INC.",United States,Milwaukee,19,32,high,pending,,414-744-5525,"MILWAUKEE MITCHELL INTL. ARPT., 6024 S. JASPER AVE, MILWAUKEE, WI, United States","https://www.aircharterguide.com/Operator_Info/FREIGHT+RUNNERS+EXPRESS,+INC./1795/Milwaukee/1989",ACG,KMKE,BE-99 (COMMUTER)|EMB-120|EMB-120ER|EMB-120ER (BRASILIA)|SAAB 2000|SF-2000 (COMMUTER)
GARUDA AIRLINES,Indonesia,Tangerang,1,1,medium,pending,,62 811 819 6144,"3RD FLOOR, MANAGEMENT BUILDING, CENGKARENG, BANTEN, TANGERANG, Indonesia",https://www.aircharterguide.com/Operator_Info/GARUDA+AIRLINES/100909/Tangerang/71679,ACG,WIRR,B-737-800 (B-737-800)
"GLOBAL AIR CHARTERS, INC.",United States,Chicago,2,4,medium,pending,https://www.globalaircharters.com/,844-212-5325 x1,"515 EATON ST, SUITE 603C, ST PAUL, MN, United States","https://www.aircharterguide.com/Operator_Info/GLOBAL+AIR+CHARTERS,+INC./97214/Chicago/66674",ACG,KMDW,G-IV (GULFSTREAM IV)|G-V (GULFSTREAM V)
"GRANT AVIATION, INC.",United States,Bethel,1,46,medium,pending,,+18667957597; 907-600-2595,"BETHEL ARPT., BETHEL, AK, United States, Fax: 907-543-5378","https://www.aircharterguide.com/Operator_Info/GRANT+AVIATION,+INC./618/Bethel/666",ACG,PABE,207|207 Stationair 8|207A|208 B|BE-200 (SUPER KING AIR)|BE-B200 (SUPER KING AIR)|CE-207A (STATIONAIRE 8)|CE-208B (GRAND CARAVAN)|CE-T207A (TURBO STATIONAIRE 8)|Chieftain|GA-8 (AIRVAN)|GA8|GA8 Airvan|GA8-TC-320|Grand Caravan|King Air B200|P2002 SIERRA|PA-31-350|PA-31-350 (CHIEFTAIN)|T207A
GREAT WESTERN AIR DBA CIRRUS AVIATION SERVICES LLC,United States,Las Vegas,1,21,medium,pending,,702-448-2366,"275 E. TROPICANA AVE., LAS VEGAS, NV, United States, Fax: 888-373-0196",https://www.aircharterguide.com/Operator_Info/GREAT+WESTERN+AIR+DBA+CIRRUS+AVIATION+SERVICES+LLC/97771/Las+Vegas/67323,ACG,KLAS,CE-560-XL (CITATION EXCEL)|CL-600 (CHALLENGER 600)|CL-604 (CHALLENGER 604)|G-550 (G-550)|HA-420 (HONDAJET)|HS-125-900XP|LR-45 (LEARJET 45)|LR-60 (LEARJET 60)|LR-60XR (LEARJET 60)
"GTA AIR, INC.",United States,Dallas,13,21,high,pending,https://gtaair.com/index.html,+14378559246; 800-217-0950,"15800 DOOLEY ROAD, SUITE 200, ADDISON, TX, United States","https://www.aircharterguide.com/Operator_Info/GTA+AIR,+INC./61320/Dallas/49558",ACG,KADS,210L Centurion|210M Centurion|401|402B|95-C55|A36|BE-36 (BONANZA)|BE-58 (BARON)|BE-A36 (BONANZA)|D55
HELITEAM SUED,Germany,Ingolstadt,2,4,medium,pending,,49 8171-4199-0,"INGOLSTADT-MANCHING AIRPORT, ZUR GENERAL AVIATION 2, MANCHING - BAVARIA, Germany",https://www.aircharterguide.com/Operator_Info/HELITEAM+SUED/3789/Ingolstadt/4414,ACG,ETSI,HB-206B (JETRANGER III)|HB-206B-3 (JETRANGER III)|HB-407GX|HB-427
HELIX FLUG GMBH,Germany,Stuttgart,7,7,high,pending,,49 7942 4481,"OHIENGER STR. 12, NEUENSTEIN, Germany, Fax: 49 7942 2069",https://www.aircharterguide.com/Operator_Info/HELIX+FLUG+GMBH/98498/Stuttgart/68194,ACG,EDDS,AS-350B (ECUREUIL)|AS-350B-2 (EUROCOPTER)|AS-350B-3 (EUROCOPTER)
IAS ITZEHOER AIRSERVICE GMBH,Germany,Itzehoe,1,3,medium,pending,,+494236980446; +494236983306; +497136276395; 49 482 6376 3361,"TOWERSTRASSE 20, HOHENLOCKSTEDT, Germany, Fax: 49 482 6376 3362",https://www.aircharterguide.com/Operator_Info/IAS+ITZEHOER+AIRSERVICE+GMBH/99712/Itzehoe/69719,ACG,EDHF,CE-208 (CARAVAN I)|Caravan 675|Grand Caravan EX
"IBC AIRWAYS, INC.",United States,Fort Lauderdale,3,19,high,pending,https://ibcairways.com/,+19548341700; 954-848-2300 (24,"500 SW 34TH ST., FT. LAUDERDALE, FL, United States, Fax: 954-359-1181","https://www.aircharterguide.com/Operator_Info/IBC+AIRWAYS,+INC./62/Fort+Lauderdale/56",ACG,KFLL,340A|340A(F)|340B(F)|EMB-145 (EMB-145)|ERJ-145 EP|ERJ-145XR|Metro II|SF-340B (COMMUTER)|SF340A
ICAR AIR D.O.O,Bosnia and Herzegovina,Tuzla,1,1,medium,pending,,387 35 247790,"KAZAN MAHALA 16/1, TUZLA, Bosnia and Herzegovina, Email:",https://www.aircharterguide.com/Operator_Info/ICAR+AIR+D.O.O/100533/Tuzla/71222,ACG,LQTZ,AS-ATR42-300
INDONESIA AIR TRANSPORT,Indonesia,Jakarta,1,5,medium,pending,https://indonesia-air.com/,+628112113080; +628112113090; 62 81818779955,"JL. MARSMA HARDADI MS - APRON SELATAN, HALIM PERDANA KUSUMA AIRPORT, JAKARTA, Indonesia",https://www.aircharterguide.com/Operator_Info/INDONESIA+AIR+TRANSPORT/1664/Jakarta/1842,ACG,WIHH,ATR 42 500|EMB-135BJ (LEGACY 600)|H155|Legacy 600
"JETFLITE, LTD.",Finland,Helsinki,1,5,medium,pending,,+3585047323447; 358-20-510-1900 (24,"SIIPITIE 5-7, VANTAA, Finland, Fax: 358-20-510-1900 (24hr)","https://www.aircharterguide.com/Operator_Info/JETFLITE,+LTD./1418/Helsinki/1556",ACG,EFHK,CL-600-2B16|CL-604 (CHALLENGER 604)|CL-650 (CHALLENGER 650)|DA-7X (FALCON 7X)|Gulfstream G150
"KUBICK AVIATION SERVICES, INC.",United States,Iron Mountain,1,2,medium,pending,https://kubickaviation.com/,+13397546783; +16039142403; +16039152512; +16039155543; +18135322152; +18323926306; +19063466440; +19067795500; 906-779-5500,"250 RIVERHILLS RD., KINGSFORD, MI, United States, Fax: flynorthairways@kubickaviation.com","https://www.aircharterguide.com/Operator_Info/KUBICK+AVIATION+SERVICES,+INC./99459/Iron+Mountain/69435",ACG,KIMT,CE-441 (CONQUEST II)|CE-525A (CITATION JET 2)
LOGANAIR,United Kingdom,Glasgow,4,71,high,pending,https://www.loganair.co.uk/,+441416429407; +443448002855; 44 141 642 9407,"LIGHTYEAR BLDG. 9 MARCHBURN DR., GLASGOW AIRPORT, PAISLEY, United Kingdom",https://www.aircharterguide.com/Operator_Info/LOGANAIR/400/Glasgow/421,ACG,EGPF,340B|42-500|42-600|72-500|72-500(F)|72-600|AS-ATR42-300|AS-ATR42-500|AS-ATR72|BN-2B-26 Islander|DHC-6-300 (TWIN OTTER)|DHC-6-300 Twin Otter|DHC-6-400 Twin Otter|EMB-145 (EMB-145)|ERJ-145EP|ERJ-145MP
LOHN AVIATION,Germany,Erfurt,13,17,high,pending,https://lohn-aviation.com/,49 6101 5814539,"WERFTHALLE G1, LIEBENSCHEID, RHEINLAND, Germany, Fax: 49 6101 6578303",https://www.aircharterguide.com/Operator_Info/LOHN+AVIATION/99774/Erfurt/69791,ACG,EDDP,A330|B-747-400F (BOEING)|D-40 (DIAMOND 40)|D-42|DA-7X (FALCON 7X)|DA-8X (FALCON 8X)|DA62|EMB-500 (PHENOM 100)|PA-34 (SENECA)|PC 12NGX (PC 12NGX)|PC-12NGX (PC-12NGX)|PC-24|TBM-900 (TBM-900)
LUFTTRANSPORT RW AS,Norway,Bodo,1,4,medium,pending,,47 7760 8300,"FLYPLASSVEIEN 96, TROMSO, Norway, Fax: 47 7760 8383",https://www.aircharterguide.com/Operator_Info/LUFTTRANSPORT+RW+AS/98659/Bodo/68382,ACG,ENBO,AW-139|DO-228
"M&N AVIATION, INC.",Puerto Rico,San Juan,1,6,medium,pending,,787-630-2662,"226 AVE JOSE A. TONY SANTANA, EAST RAMP CENTER SECTOR, LUIS MUNOZ MARIN INTL, CAROLINE, Puerto Rico","https://www.aircharterguide.com/Operator_Info/M&N+AVIATION,+INC./2446/San+Juan/2689",ACG,TJSJ,208 B|CE-208 EX (GRAND CARAVAN)|CE-208B (GRAND CARAVAN)|CE-650-VII (CITATION VII)|DA-900EX (FALCON 900EX)|MU-2
"MACH ONE AIR CHARTERS, INC.",United States,Chino,2,6,medium,pending,,909-597-8461,"7000 MERRILL AVE, CHINO, CA, United States, Fax: 909-597-7662","https://www.aircharterguide.com/Operator_Info/MACH+ONE+AIR+CHARTERS,+INC./96514/Chino/65780",ACG,KCNO,CE-560-XL (CITATION EXCEL)|CE-560-XLS (CITATION XLS)|G-200 (GULFSTREAM 200)|G-IV (GULFSTREAM IV)
MACHJET INTERNATIONAL PTY LTD,Australia,Brisbane,1,10,medium,pending,,61 428 756 929,"14 FRIENDSHIP AVE., MARCOOLA, QLD, Australia, Email:",https://www.aircharterguide.com/Operator_Info/MACHJET+INTERNATIONAL+PTY+LTD/99956/Brisbane/69988,ACG,YBBN,BE-200 (SUPER KING AIR)|BE-200C (SUPER KING AIR)|CE-525 (CITATION JET 1)|CE-525A (CITATION JET 2)|CE-525C (CITATION JET 4)
MAERSK AIR CARGO,Denmark,Copenhagen,19,30,high,pending,,45 70716341,"BREDSKIFTE ALLE 13, AARHUS, Denmark, Email:",https://www.aircharterguide.com/Operator_Info/MAERSK+AIR+CARGO/98753/Copenhagen/68523,ACG,EKCH,767-204(BDSF)|767-25E(BDSF)|767-300F|767-3P6(ER)(BDSF)|777-F|B-747-200|B-767-200|B-767-300|B-777
MARC AIR,United States,Minden,2,5,medium,pending,https://marc-airc.com/,+16615090863; +16622864932; +16622865374; +16622871845; +16622882654; +16622897468; +16623191126; +16623202242; +16626190737; +16627334977; +16627335052; +16627863208; +17376128536; +17376134300; +17376183678; +17376184893; +17376189202; +17376189975; +17376190935; +17376191854; +17376230160; +17376230396; +17376230541; +17376230675; +17376232908; +17376233593; +17376233779; +17376235514; +17376242851; +17376243046; +17376243230; +17376246117; +17376246278; +17376249939; +17376250078; +17376250476; +17376250581; +17376252315; +17376252524; +17376252824; +17376252983; +17376253885; +17376255054; +17376255307; +17376255723; +17376255885; +17376257942; +17376258172; +17377033873; +17377036719; +17739053903; 805-782-8111,"421 CORIE COURT, GARDNERVILLE, NV, United States, Fax: 805-541-8047",https://www.aircharterguide.com/Operator_Info/MARC+AIR/1860/Minden/2057,ACG,KSMX,PA-46-701TP (M700 FURY)|PC-12-45 (PILATUS)|PC-12-47E (PILATUS)
MARTINAIR,Netherlands,Amsterdam,4,6,high,pending,https://www.martinair.com/,31 20 648 8000,"HOLLAND NV, PIET GUILANARDWEG 17, EE SCHIPHOL, Netherlands",https://www.aircharterguide.com/Operator_Info/MARTINAIR/360/Amsterdam/377,ACG,EHAM,747-412(BCF)|B-747-400|M20J
"MCMAHON HELICOPTER SERVICES, INC.",United States,Plymouth,1,3,medium,pending,,734-459-5980,"8170 N LILLEY ROAD, CANTON, MI, United States, Email:","https://www.aircharterguide.com/Operator_Info/MCMAHON+HELICOPTER+SERVICES,+INC./852/Plymouth/925",ACG,1D2,HB-430
MYWAY AIRLINES CO,Georgia,Tbilisi,1,1,medium,pending,https://mywayairlines.com/,995 322 242000,"SEA PLAZA, VARKETILI IV M/D, TBILISI, Georgia",https://www.aircharterguide.com/Operator_Info/MYWAY+AIRLINES+CO/100549/Tbilisi/71239,ACG,UGTB,B-737-700
NATIONAL AIRLINES,United States,Orlando,8,8,high,pending,https://www.nationalairlines.com/,+14072836204; +14073132255; +17166310011; +17166319186; +17166772661; +18006350022; 407-283-6288 (,"5955 TG LEE BLVD, CITADEL II BLDG., SUITE 500, ORLANDO, FL, United States",https://www.aircharterguide.com/Operator_Info/NATIONAL+AIRLINES/1908/Orlando/2108,ACG,KMCO,B-747-400
NATIONAL JET EXPRESS,Australia,Perth,4,24,high,pending,https://www.national-express.com,61 8 6285 2800,"26 VALENTINE ROAD, PERTH DOMESTIC AIRPORT, PERTH, Australia",https://www.aircharterguide.com/Operator_Info/NATIONAL+JET+EXPRESS/576/Perth/619,ACG,YPPH,AVRO 146-RJ100|AVRO 146-RJ85|BAE 146 SERIES 300|BAE 146-300|BAE-146-300|DHC-8-400 (DASH 8-400)|DHC-8-400Q (DASH 8-Q400)|DHC-8-402|EMB-190 (LINEAGE 1000)|Legacy 600
NAURU AIRLINES,Australia,Brisbane,2,13,medium,pending,,61 7322 96455,"LEVEL 2, 99 CREEK STREET, BRISBANE, Australia",https://www.aircharterguide.com/Operator_Info/NAURU+AIRLINES/100685/Brisbane/71417,ACG,YBBN,737-319|737-319(SF)|737-36N|737-3U3(SF)|737-79L|737-83N|737-86N(SF)|B-737-300 (BOEING 737)|B-737-300F|B-737-700|B-737-800 (B-737-800)
"NEXGEN FLIGHT SOLUTIONS, LLC",United States,Washington,1,2,medium,pending,,703-268-5700,"9425 JET LANE, EASTON, MD, United States, Email:","https://www.aircharterguide.com/Operator_Info/NEXGEN+FLIGHT+SOLUTIONS,+LLC/99961/Washington/69993",ACG,KIAD,407GX|BD-700-1A10 (GLOBAL EXPRESS)
"NORTH CENTRAL AVIATION, INC.",United States,Minneapolis,2,4,medium,pending,,651-301-8890,"670 COUNTY RD. B WEST, ST. PAUL, MN, United States, Fax: 651-344-0809","https://www.aircharterguide.com/Operator_Info/NORTH+CENTRAL+AVIATION,+INC./15689/Minneapolis/16941",ACG,KANE,BE-300B (SUPER KING AIR)|CE-560-XL (CITATION EXCEL)|CE-560-XLS+ (Citation XLS+)|PC-12-47 (PILATUS)
NORTHERN AIR,Fiji,Nausori,1,3,medium,pending,https://northernairsystems.com/,+12257718154; +15855945050; 679 9922449,"NORTHERN AIR SERVICES CHARTER LTD/SPATI, NAUSORI AIRPORT, HANGER 2, HANGER ROAD, NAUSORI, Fiji",https://www.aircharterguide.com/Operator_Info/NORTHERN+AIR/100860/Nausori/71627,ACG,NFNA,BN-2A (ISLANDER)|EMB-110 (BANDEIRANTE)
"NORTHERN AIR CARGO, INC.",United States,Anchorage,8,8,high,pending,,907-243-3331,"50 ELLIOTT STREET, HONOLULU, HI, United States, Fax: 808-836-5159","https://www.aircharterguide.com/Operator_Info/NORTHERN+AIR+CARGO,+INC./3113/Anchorage/70389",ACG,PHNL,B-737-300 (BOEING 737)|B-767-300
P&N FLIGHT AND CHARTER,United States,Cedar Rapids,1,1,medium,pending,,319-377-0457,"3425 BEECH WAY SW, CEDAR RAPIDS, IA, United States, Email:",https://www.aircharterguide.com/Operator_Info/P&N+FLIGHT+AND+CHARTER/99532/Cedar+Rapids/69522,ACG,KCID,PA-46 (MALIBU)
PAMBELE AVIATION,South Africa,Johannesburg,1,4,medium,pending,,27 11 805 0652,"GRAND CENTRAL ARPT., NEW RD., 1ST FLOOR, TERMINAL BLDG., MIDRAND, GAUTENG, South Africa",https://www.aircharterguide.com/Operator_Info/PAMBELE+AVIATION/97258/Johannesburg/66718,ACG,FALA,BE-200 (SUPER KING AIR)|BE-300 (SUPER KING AIR 300)|CE-208B (GRAND CARAVAN)|PA-34-220 (SENECA)
PANH HELICOPTERS,Russian Federation,Magadan,21,35,high,pending,,7 861 2556975,"INTERNATIONAL AIRPORT KRASNODAR, AEROPORTOVSKIY PROEZD, KRASNODAR, Russian Federation",https://www.aircharterguide.com/Operator_Info/PANH+HELICOPTERS/98398/Magadan/68058,ACG,URKK,An-2|An-2 R|BK-117|EC-135T-2 (EUROCOPTER)|KA-32 (KAMOV)|KA-32S|KA-32T|MI-26|MI-8|MI-8-MTV1|MI-8-PS9|MI-8T|Mi-8 MTV-1
PECOTOX AIR,Moldova,Chisinau,1,1,medium,pending,,373 22 523670,"259/10 GRENOBLE STREET, CHISINAU, Moldova, Email:",https://www.aircharterguide.com/Operator_Info/PECOTOX+AIR/101070/Chisinau/71871,ACG,LUKK,B-747-400F (BOEING)
"PEGASUS ELITE AVIATION, INC.",United Kingdom,Luton,2,10,medium,pending,,+1 818-742-6666,"7943 WOODLEY AVE., VAN NUYS, CA, United States, Fax: +1 818-474-7437","https://www.aircharterguide.com/Operator_Info/PEGASUS+ELITE+AVIATION,+INC./98086/Luton/67675",ACG,KVNY,BD-700-1A11 (GLOBAL EXPRESS)|G-650|G-650ER|G-IV (GULFSTREAM IV)|G-V (GULFSTREAM V)
"PLANEMASTERS, LTD.",United States,Chicago,10,13,high,pending,,630-513-2100,"32 W. 611 TOWER RD., DUPAGE ARPT., WEST CHICAGO, IL, United States","https://www.aircharterguide.com/Operator_Info/PLANEMASTERS,+LTD./1186/Chicago/1282",ACG,KDPA,BE-1900 (COMMUTER)|BE-1900C (COMMUTER)|BE-300B (SUPER KING AIR)|CE-208B (GRAND CARAVAN)|CE-650 (CITATION III)|PC-12-45 (PILATUS)
PNG AIR,Papua New Guinea,Port Moresby,4,12,high,pending,https://pngair.com.pg/,675 7373-7161,"JACKSONS DOMESTIC AIRPORT, 7 MILE, PORT MORESBY, Papua New Guinea, Email:",https://www.aircharterguide.com/Operator_Info/PNG+AIR/2078/Port+Moresby/2303,ACG,AYPY,AS-ATR72|AS-ATR72-600|DHC-8 (DASH 8)|DHC-8-100 (DASH 8)
POSTE AIR CARGO S.R.L.,Italy,Rome,6,6,high,pending,,39 06 96663333,"VIALE EUROPA, 190, ROME, Italy, Fax: 39 06 98682598",https://www.aircharterguide.com/Operator_Info/POSTE+AIR+CARGO+S.R.L./1689/Rome/1868,ACG,LIRA,B-737-400|B-737-800 (B-737-800)
"PRIORITY AIR CHARTER, LLC",United States,Kidron,4,13,high,pending,,330-698-4604,"STOLTZFUS AIRFIELD, 11234 HACKETT RD., APPLE CREEK, OH, United States","https://www.aircharterguide.com/Operator_Info/PRIORITY+AIR+CHARTER,+LLC/2047/Kidron/2263",ACG,OH22,208 B|208B|C-12R Huron|C-12T2 Huron|CE-208B (GRAND CARAVAN)|DC3C|DC3C-S1C3G|Hawker Beechcraft Corp C-12V-1 Huron|PC-12-45 (PILATUS)|PC-XII 45|RC-12X Huron
"PRISMJET, LLC",United States,Scottsdale,1,5,medium,pending,,480-426-8180,"15003 N AIRPORT DRIVE, SCOTTSDALE, AZ, United States, Email:","https://www.aircharterguide.com/Operator_Info/PRISMJET,+LLC/100703/Scottsdale/71435",ACG,KSDL,BD-100-1A10 (CHALLENGER 300)|BD-100-1A10 (CHALLENGER 350)|CL-604 (CHALLENGER 604)|LR-45 (LEARJET 45)
PRIVILEGE STYLE,Spain,Madrid,1,9,medium,pending,https://www.privilegestyle.com/,34 971 607280,"CAMI SON FANGOS, 100. EDIF A 3 7A, PALMA DE MALLORCA, Spain, Email:",https://www.aircharterguide.com/Operator_Info/PRIVILEGE+STYLE/99350/Madrid/69300,ACG,LEMD,757 256|777-219(ER)|A321|A321-231|A330-243|B-757-200|B-767-300ER|B-777
QUIKCHARTER,United States,San Jose,3,3,high,pending,https://quikcharter.com/charter-aircraft/,+14085385316; +18889087845; 888-908-7845,"P.O. BOX 54031, SAN JOSE, CA, United States, Email:",https://www.aircharterguide.com/Operator_Info/QUIKCHARTER/99720/San+Jose/69727,ACG,KSJC,EMB-500 (PHENOM 100)|PA-46-500TP (MALIBU MERIDIAN)|SR-22 (SR-22)
RABER FLIGHT SERVICES LLC,United States,Denver,2,3,medium,pending,,720-980-5842,"8201 SOUTH INTERPORT BLVD, ENGLEWOOD, CO, United States, Email:",https://www.aircharterguide.com/Operator_Info/RABER+FLIGHT+SERVICES+LLC/99454/Denver/69430,ACG,KAPA,CE-441 (CONQUEST II)|CE-501 (CITATION)|CE-560 (CITATION V)
REDTAIL AVIATION,United States,Moab,2,4,medium,pending,,425-239-1133,"CANYONLANDS FIELD REGIONAL AIRPORT, 4 WEST AVIATION WAY, MOAB, UT, United States",https://www.aircharterguide.com/Operator_Info/REDTAIL+AVIATION/1209/Moab/1307,ACG,KPUC,CE-172N (SKYHAWK 100)|CE-T207A (TURBO STATIONAIRE 8)|GA-8 (AIRVAN)|K-100 (KODIAK-100)
RESILIENCE AVIATION,South Africa,Johannesburg,6,11,high,pending,https://resilienceaviation.com/,+27114672990; 27 11-4672-990,"ONE-ON-NINTH, CNR GLENHOVE & OXFORD STREET, JOHANNESBURG, South Africa",https://www.aircharterguide.com/Operator_Info/RESILIENCE+AVIATION/99421/Johannesburg/69396,ACG,FALA,BE-1900C (COMMUTER)|BE-1900D (COMMUTER)|BE-200 (SUPER KING AIR)|CE-208 EX (GRAND CARAVAN)|CE-208B (GRAND CARAVAN)|HS-125-4000 (HAWKER 4000)
REVEN GLOBAL TRANSPOR,Indonesia,Timika,3,3,high,pending,,62 812 400 3511,"BANDARA MOSES KILANGIN INTL AIRPORT, JL.AHMAD YANI NO. 20 MIMIKA, TIMIKA-PAPUA, Indonesia",https://www.aircharterguide.com/Operator_Info/REVEN+GLOBAL+TRANSPOR/100911/Timika/71681,ACG,WAYY,CE-208 (CARAVAN I)
"RIDGELINE AVIATION, INC",United States,Cordova,1,3,medium,pending,https://www.ridgelineaviation.com/,907-424-6966,"MILE 13 COPPER RIVER HIGHWAY, CORDOVA, AK, United States, Email:","https://www.aircharterguide.com/Operator_Info/RIDGELINE+AVIATION,+INC/98405/Cordova/68065",ACG,PACV,AS-350 (ASTAR)|CE-170B|R-66
RIMBUN ABADI AVIASI,Indonesia,Bandung,7,7,high,pending,,+625196679693; 62 21 38777385,"JL. PENYELESAIAN TOMANG 1, BLOK 16 NO.29, MERUYA UTARA, KAMBANGAN, JAKARTA, Indonesia",https://www.aircharterguide.com/Operator_Info/RIMBUN+ABADI+AVIASI/100912/Bandung/71682,ACG,WIII,AS-ATR72-600|B-737-300 (BOEING 737)|B-737-800 (B-737-800)|DHC-6 (TWIN OTTER)
SAN MARINO EXECUTIVE AVIATION (SMEA),Belgium,Liege,1,3,medium,pending,,90 212 603 6330,"VIA CA DEI LUNGHI, NO 4, CAILUNGO, San Marino",https://www.aircharterguide.com/Operator_Info/SAN+MARINO+EXECUTIVE+AVIATION+(SMEA)/100285/Liege/70914,ACG,EBLG,A300-600|A330-300
SEARCA S.A. (SERVICIO AEREO DE CAPURGANA),Colombia,Bogota,3,16,high,pending,,57 1-413 5626,"ENTRADA 6 VIA CATAM, HANGAR 36, BOGOTA, Colombia",https://www.aircharterguide.com/Operator_Info/SEARCA+S.A.+(SERVICIO+AEREO+DE+CAPURGANA)/35579/Bogota/21938,ACG,SKBO,BE-1900 (COMMUTER)|BE-1900C (COMMUTER)|BE-1900D (COMMUTER)|BE-400A (BEECHJET)|G-200 (GULFSTREAM 200)|LET-410
SEATTLE AIRCRAFT CHARTER,United States,Trenton,1,1,medium,pending,https://seattleaircraftcharter.com/,833-953-8759,"750 W PERIMETER ROAD, RENTON, WA, United States, Email:",https://www.aircharterguide.com/Operator_Info/SEATTLE+AIRCRAFT+CHARTER/100390/Trenton/71053,ACG,KTRX,PC-12-45 (PILATUS)
SILICON VALLEY EXPRESS,United States,San Jose,1,1,medium,pending,https://siliconvalleyexpress.com/,+14082920677; 831-588-2436,"1250 AVIATION AVE, #105, SAN JOSE, CA, United States",https://www.aircharterguide.com/Operator_Info/SILICON+VALLEY+EXPRESS/100386/San+Jose/71049,ACG,KSJC,DA-2000 (FALCON 2000)
SILK WAY WEST AIRLINES,Azerbaijan,Baku,14,31,high,pending,https://www.silkwaywest.com,994 12 437 4888,"HEYDAR ALIYEV INTL' ARPT., BAKU, Azerbaijan, Fax: 994 12 497 1038",https://www.aircharterguide.com/Operator_Info/SILK+WAY+WEST+AIRLINES/97140/Baku/66528,ACG,UBBB,747-467F|747-4H6(F)|747-4R7F|747-83QF|777-F|B-747-400|B-747-400F (BOEING)|B-747-8F|B-777|Boeing 747-4H6(F)|Boeing 747-4H6F
SKA INTERNATIONAL GROUP,United Arab Emirates,Jebel Ali,1,1,medium,pending,,971 4884-0800,"28TH FLOOR, JBC4, CLUSTER N, DUBAI, United Arab Emirates",https://www.aircharterguide.com/Operator_Info/SKA+INTERNATIONAL+GROUP/100263/Jebel+Ali/70892,ACG,OMDW,FK-70
SKY HIGH AVIATION,Dominican Republic,Santo Domingo,3,8,high,pending,https://www.skyhigh.aero,+1 809 591 4412; +18095914412,"RUTA 66 SALIDA DEL AEROPUERTO LAS AMERICASE, SANTO DOMINGO, Dominican Republic, Email:",https://www.aircharterguide.com/Operator_Info/SKY+HIGH+AVIATION/100541/Santo+Domingo/71230,ACG,MDSD,B-737-300F|B-737-400F|EMB-190 (LINEAGE 1000)|Embraer ERJ-145LR
SOLINAIR D.O.O. SECOVLJE,Slovenia,Ljubljana,2,2,medium,pending,,386 4-236-6040,"ZGORNI BRNIK 130T, BRNIK, Slovenia, Fax: 386 4-236-6041",https://www.aircharterguide.com/Operator_Info/SOLINAIR+D.O.O.+SECOVLJE/2186/Ljubljana/2413,ACG,LJLJ,A300-600
SONRISE AVIATION,United States,Portland,2,6,medium,pending,https://sonriseaviation.com/,+18007174200; 260-766-4548,"PORTLAND MUNICIPAL AIRPORT, 547 W 100 N, PORTLAND, IN, United States",https://www.aircharterguide.com/Operator_Info/SONRISE+AVIATION/100380/Portland/71043,ACG,KPLD,CE-310R (CESSNA 310)|CE-404 (TITAN)
"SOUTH AERO, INC.",United States,Albuquerque,13,13,high,pending,https://southaeroinc.com/,+15058424337; 505-842-4337,"2502 CLARK CARR LOOP S.E. HANGAR A-2, ALBUQUERQUE, NM, United States, Email:","https://www.aircharterguide.com/Operator_Info/SOUTH+AERO,+INC./96399/Albuquerque/65608",ACG,KABQ,CE-208B (GRAND CARAVAN)|CE-402C (BUSINESS/UTILINER)|CE-404 (TITAN)
SPICE JET,India,Delhi,1,5,medium,pending,https://www.spicejet.com/,91 124 4983410,"319 UDYOG VIHAR, PHASE IV, GURGAON, HARYANA, India",https://www.aircharterguide.com/Operator_Info/SPICE+JET/100298/Delhi/70927,ACG,VIDP,B-737-700|B-737-800 (B-737-800)|DHC-8-400 (DASH 8-400)
